time,remaining_qty,slice_qty,mid_now,best_bid,best_ask,spread_ticks,imbalance,vol_ema,time_ratio,fill_ratio,schedule_error,ml_ready,ml_predicted_move,ml_urgency,ml_triggered,forced_ioc,skip,raw_action,final_action,ml_horizon_ms,ml_threshold
1767502800000,4008,11,914012,914012,914013,1,0.242464,0.135283,0.458333,0.427429,0.0309048,1,39.9426,39.9426,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767503700000,3997,11,913882,913882,913883,1,-0.640713,0.0306648,0.459821,0.429,0.0308214,1,46.8795,46.8795,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767504600000,3986,11,914567,914567,914568,1,-0.809111,0.277225,0.46131,0.430571,0.0307381,1,47.8156,47.8156,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767505500000,3975,11,913923,913923,913924,1,-0.836611,1.60822,0.462798,0.432143,0.0306548,1,47.1623,47.1623,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767506400000,3964,11,914818,914818,914819,1,-0.0564752,0.116387,0.464286,0.433714,0.0305714,1,39.2596,39.2596,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767507300000,3953,11,916675,916675,916676,1,-0.941508,0.420851,0.465774,0.435286,0.0304881,1,45.3528,45.3528,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767508200000,3942,11,915416,915416,915417,1,-0.741555,1.31614,0.467262,0.436857,0.0304048,1,42.567,42.567,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767509100000,3931,11,912934,912934,912935,1,-0.639303,4.48421,0.46875,0.438429,0.0303214,1,37.8451,37.8451,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767510000000,3920,11,912394,912394,912395,1,0.449679,6.95084,0.470238,0.44,0.0302381,1,21.3354,21.3354,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767510900000,3909,11,913273,913273,913274,1,-0.370224,0.00298152,0.471726,0.441571,0.0301548,1,40.6936,40.6936,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767511800000,3898,11,913110,913110,913111,1,-0.0284168,0.00489193,0.473214,0.443143,0.0300714,1,37.9382,37.9382,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767512700000,3887,11,914902,914902,914903,1,-0.252151,1.22557,0.474702,0.444714,0.0299881,1,40.4447,40.4447,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767513600000,3876,11,915239,915239,915240,1,-0.573958,0.032872,0.47619,0.446286,0.0299048,1,40.4908,40.4908,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
