time,bid,ask,mid,spread,microprice,bid_depth,ask_depth,imbalance,mm_bid_queue,mm_ask_queue
1767739796597,932766,932767,932766,1,932767,695,237,0.491416,-1,-1
1767739808597,932509,932510,932509,1,932509,669,1186,-0.278706,-1,-1
1767739820598,932769,932770,932769,1,932770,1803,43,0.953413,-1,-1
1767739832597,932825,932826,932825,1,932825,307,440,-0.178046,-1,-1
1767739844598,932825,932826,932825,1,932825,326,355,-0.0425844,-1,-1
1767739856597,932825,932826,932825,1,932826,466,451,0.0163577,-1,-1
1767739868598,932845,932846,932845,1,932846,679,202,0.54143,-1,-1
1767739880597,932755,932756,932755,1,932756,626,322,0.320675,-1,-1
1767739892597,932807,932808,932807,1,932808,835,239,0.554935,-1,-1
1767739904597,932845,932846,932845,1,932846,1171,302,0.589952,-1,-1
1767739916597,932845,932846,932845,1,932846,558,383,0.185972,-1,-1
1767739928597,932781,932782,932781,1,932782,550,270,0.341463,-1,-1
1767739940597,933012,933013,933012,1,933013,748,202,0.574737,-1,-1
1767739952597,933232,933233,933232,1,933232,425,582,-0.155909,-1,-1
1767739964597,932788,932789,932788,1,932788,151,1256,-0.785359,-1,-1
1767739976598,932224,932225,932224,1,932224,513,817,-0.228571,-1,-1
1767739988597,931807,931808,931807,1,931807,380,830,-0.371901,-1,-1
1767740000598,932074,932075,932074,1,932075,990,193,0.673711,-1,-1
1767740012597,932009,932010,932009,1,932009,315,1015,-0.526316,-1,-1
1767740024597,932836,932837,932836,1,932836,419,732,-0.271937,-1,-1
1767740036598,932936,932937,932936,1,932937,770,356,0.367673,-1,-1
1767740048597,933017,933093,933055,76,933042,366,737,-0.336355,-1,-1
1767740060597,932753,932754,932753,1,932753,411,820,-0.33225,-1,-1
1767740072597,932753,932754,932753,1,932753,398,861,-0.367752,-1,-1
1767740084598,932697,932698,932697,1,932697,468,877,-0.304089,-1,-1
1767740096597,932502,932503,932502,1,932502,477,642,-0.147453,-1,-1
1767740108597,932408,932459,932433,51,932422,352,923,-0.447843,-1,-1
1767740120597,932408,932409,932408,1,932408,219,800,-0.570167,-1,-1
1767740132597,932594,932595,932594,1,932595,1046,338,0.511561,-1,-1
1767740144598,932629,932630,932629,1,932630,1033,126,0.782571,-1,-1
1767740156598,932938,932939,932938,1,932939,915,88,0.824526,-1,-1
1767740168597,933161,933162,933161,1,933161,270,857,-0.520852,-1,-1
1767740180597,933091,933092,933091,1,933091,317,811,-0.437943,-1,-1
1767740192597,932887,932888,932887,1,932888,677,562,0.0928168,-1,-1
1767740204598,932951,932952,932951,1,932952,1145,309,0.574966,-1,-1
1767740216797,932951,932952,932951,1,932952,1197,350,0.547511,-1,-1
1767740228797,933138,933139,933138,1,933139,1371,137,0.818302,-1,-1
1767740240998,933230,933231,933230,1,933231,685,138,0.664642,-1,-1
1767740252998,933230,933231,933230,1,933231,958,219,0.627867,-1,-1
1767740265197,933637,933638,933637,1,933638,1152,142,0.780526,-1,-1
1767740277197,933743,933744,933743,1,933744,890,225,0.596413,-1,-1
1767740289197,933796,933797,933796,1,933797,1651,82,0.905366,-1,-1
1767740301197,933701,933702,933701,1,933701,486,847,-0.270818,-1,-1
1767740313197,933313,933314,933313,1,933313,41,921,-0.914761,-1,-1
1767740325197,933073,933074,933073,1,933073,400,713,-0.281222,-1,-1
1767740337197,932785,932786,932785,1,932786,671,574,0.0779116,-1,-1
1767740349197,933000,933001,933000,1,933001,669,564,0.0851582,-1,-1
1767740361198,933124,933125,933124,1,933125,1002,142,0.751748,-1,-1
1767740373398,933174,933175,933174,1,933175,766,232,0.53507,-1,-1
1767740385597,933313,933314,933313,1,933314,959,144,0.738894,-1,-1
1767740397597,933599,933709,933654,110,933649,272,328,-0.0933333,-1,-1
1767740409597,933671,933672,933671,1,933672,661,339,0.322,-1,-1
1767740421397,934124,934125,934124,1,934125,940,191,0.662246,-1,-1
1767740433397,934284,934285,934284,1,934285,1251,229,0.690541,-1,-1
1767740445397,934657,934658,934657,1,934657,494,631,-0.121778,-1,-1
1767740457398,934407,934408,934407,1,934408,1118,255,0.628551,-1,-1
1767740469397,934166,934167,934166,1,934166,61,554,-0.801626,-1,-1
1767740481397,934166,934167,934166,1,934166,306,614,-0.334783,-1,-1
1767740493397,933697,933698,933697,1,933698,604,477,0.117484,-1,-1
1767740505397,933697,933698,933697,1,933698,905,315,0.483607,-1,-1
1767740517397,933642,933643,933642,1,933642,496,641,-0.127529,-1,-1
1767740529398,933703,933704,933703,1,933704,1078,265,0.605361,-1,-1
1767740541397,934108,934109,934108,1,934108,365,1132,-0.512358,-1,-1
1767740553397,934108,934109,934108,1,934108,845,1045,-0.10582,-1,-1
1767740565397,934134,934135,934134,1,934135,1359,391,0.553143,-1,-1
1767740577397,934094,934223,934158,129,934190,1368,470,0.488575,-1,-1
1767740589397,934031,934032,934031,1,934032,997,560,0.280668,-1,-1
1767740601397,934213,934214,934213,1,934213,465,1102,-0.406509,-1,-1
1767740613397,934260,934261,934260,1,934260,507,1546,-0.506089,-1,-1
1767740625398,934314,934315,934314,1,934315,1737,480,0.566982,-1,-1
1767740637397,934308,934309,934308,1,934309,1216,801,0.205751,-1,-1
1767740649597,934344,934345,934344,1,934345,1483,356,0.612833,-1,-1
1767740661597,934460,934493,934476,33,934488,1536,287,0.685134,-1,-1
1767740673598,934686,934687,934686,1,934686,473,1487,-0.517347,-1,-1
1767740685597,934873,934874,934873,1,934874,1751,103,0.888889,-1,-1
1767740697598,935011,935012,935011,1,935012,2060,366,0.698269,-1,-1
1767740709597,934806,934807,934806,1,934807,1277,519,0.422049,-1,-1
1767740721597,934813,934814,934813,1,934814,1447,557,0.444112,-1,-1
